Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Average_AS_path_length,Average_unique_AS_path_length,Maximum_edit_distance,Maximum_AS_path_length,Number_of_incomplete_packets,Labels
58,4,130,29,6,6,1,13,20,Normal
58,7,107,25,6,6,1,12,10,Normal
43,6,68,22,5,5,0.8,8,1,Normal
60,7,119,54,6,6,1.1,10,2,Normal
52,6,102,52,5,6,0.9,8,4,Normal
40,6,125,53,6,6,0.7,11,4,Normal
48,6,120,77,6,6,0.9,11,1,Normal
84,6,185,26,6,6,1.5,10,15,Normal
28,4,38,17,6,6,0.5,10,2,Normal
27,4,38,11,6,6,0.5,9,5,Normal
56,5,86,30,6,7,1,13,6,Normal
63,5,102,9,7,7,1.1,14,12,Normal
47,4,90,17,6,6,0.8,14,10,Normal
48,6,81,13,5,5,0.9,8,4,Normal
51,5,96,40,6,6,0.9,10,4,Normal
43,5,66,24,6,6,0.8,10,9,Normal
65,10,115,58,7,7,1.2,13,15,Normal
51,3,90,21,6,6,0.9,9,13,Normal
72,7,111,34,7,7,1.3,14,15,Normal
94,3,316,8,6,6,1.6,10,18,Normal
65,6,121,26,6,6,1.1,10,15,Normal
59,6,294,32,6,5,1,9,10,Normal
89,7,807,11,6,6,1.6,13,23,Normal
80,3,596,43,6,6,1.3,11,16,Normal
115,6,904,54,6,6,2,13,30,Normal
59,6,135,26,6,6,1,12,11,Normal
64,4,121,22,6,6,1.1,12,10,Normal
89,4,213,26,6,6,1.5,17,15,Normal
81,8,129,44,6,6,1.4,18,11,Normal
61,6,187,30,6,6,1.1,18,8,Normal
65,6,145,41,5,6,1.1,13,10,Normal
50,7,159,27,6,6,0.9,14,5,Normal
60,4,155,26,6,6,1,15,15,Normal
90,7,449,66,6,6,1.6,16,16,Normal
58,6,126,74,6,6,1,13,21,Normal
52,5,137,22,6,6,0.9,14,12,Normal
65,6,166,56,6,6,1.1,15,16,Normal
66,6,142,13,6,6,1.2,14,16,Normal
51,6,156,22,6,6,0.9,9,6,Normal
66,9,172,83,6,6,1.2,9,11,Normal
87,6,257,37,6,6,1.5,9,18,Normal
71,6,180,28,7,7,1.2,15,17,Normal
